id,pokemon,species_id,height,weight,base_experience,type_1,type_2,attack,defense,hp,special_attack,special_defense,speed,ability_1,ability_2,ability_hidden,color_1,color_2,color_f,egg_group_1,egg_group_2,url_image,generation_id,evolves_from_species_id,evolution_chain_id,shape_id,shape
26,raichu,26,8,300,218,electric,,90,55,60,90,80,110,static,,lightning-rod,#F8D030,,,ground,fairy,26.png,1,25,10,6,upright
27,sandshrew,27,6,120,60,ground,,75,85,50,20,30,40,sand-veil,,sand-rush,#E0C068,,,ground,,27.png,1,,11,6,upright
28,sandslash,28,10,295,158,ground,,100,110,75,45,55,65,sand-veil,,sand-rush,#E0C068,,,ground,,28.png,1,27,11,6,upright
31,nidoqueen,31,13,600,227,poison,ground,92,87,90,75,85,76,poison-point,rivalry,sheer-force,#A040A0,#E0C068,#AF5F92,no-eggs,,31.png,1,33,12,6,upright
32,nidorana,32,5,90,55,poison,,57,40,46,40,40,50,poison-point,rivalry,hustle,#A040A0,,,monster,ground,32.png,1,,13,8,quadruped
33,nidorina,33,9,195,128,poison,,72,57,61,55,55,65,poison-point,rivalry,hustle,#A040A0,,,monster,ground,33.png,1,32,13,8,quadruped
34,nidoking,34,14,620,227,poison,ground,102,77,81,85,75,85,poison-point,rivalry,sheer-force,#A040A0,#E0C068,#AF5F92,monster,ground,34.png,1,33,13,6,upright
35,clefairy,35,6,75,113,fairy,,45,48,70,60,65,35,cute-charm,magic-guard,friend-guard,#EE99AC,,,fairy,,35.png,1,173,14,6,upright
36,clefable,36,13,400,217,fairy,,70,73,95,95,90,60,cute-charm,magic-guard,uware,#EE99AC,,,fairy,,36.png,1,35,14,6,upright
37,vulpix,37,6,99,60,fire,,41,40,38,50,65,65,flash-fire,,drought,#F08030,,,ground,,37.png,1,,15,8,quadruped
38,ninetales,38,11,199,177,fire,,76,75,73,81,100,100,flash-fire,,drought,#F08030,,,ground,,38.png,1,37,15,8,quadruped
39,jigglypuff,39,5,55,95,normal,fairy,45,20,115,45,25,20,cute-charm,competitive,friend-guard,#A8A878,#EE99AC,#B8A484,fairy,,39.png,1,174,16,12,humanoid
40,wigglytuff,40,10,120,196,normal,fairy,70,45,140,85,50,45,cute-charm,competitive,frisk,#A8A878,#EE99AC,#B8A484,fairy,,40.png,1,39,16,12,humanoid
41,zubat,41,8,75,49,poison,flying,45,35,40,30,40,55,inner-focus,,infiltrator,#A040A0,#A890F0,#A153B3,flying,,41.png,1,,17,9,wings
42,golbat,42,16,550,159,poison,flying,80,70,75,65,75,90,inner-focus,,infiltrator,#A040A0,#A890F0,#A153B3,flying,,42.png,1,41,17,9,wings
43,oddish,43,5,54,64,grass,poison,50,55,45,75,65,30,chlorophyll,,run-away,#78C850,#A040A0,#81A763,plant,,43.png,1,,18,7,legs
44,gloom,44,8,86,138,grass,poison,65,70,60,85,75,40,chlorophyll,,stench,#78C850,#A040A0,#81A763,plant,,44.png,1,43,18,12,humanoid
45,vileplume,45,12,186,221,grass,poison,80,85,75,110,90,50,chlorophyll,,effect-spore,#78C850,#A040A0,#81A763,plant,,45.png,1,44,18,12,humanoid
46,paras,46,3,54,57,bug,grass,70,55,35,45,55,25,effect-spore,dry-skin,damp,#A8B820,#78C850,#9CBB2B,bug,plant,46.png,1,,19,14,armor
47,parasect,47,10,295,142,bug,grass,95,80,60,60,80,30,effect-spore,dry-skin,damp,#A8B820,#78C850,#9CBB2B,bug,plant,47.png,1,46,19,14,armor
48,venonat,48,10,300,61,bug,poison,55,50,60,40,55,45,compound-eyes,tinted-lens,run-away,#A8B820,#A040A0,#A69A3F,bug,,48.png,1,,20,12,humanoid
49,venomoth,49,15,125,158,bug,poison,65,60,70,90,75,90,shield-dust,tinted-lens,wonder-skin,#A8B820,#A040A0,#A69A3F,bug,,49.png,1,48,20,13,bug-wings
50,diglett,50,2,8,53,ground,,55,25,10,35,45,95,sand-veil,are-trap,sand-force,#E0C068,,,ground,,50.png,1,,21,5,blob
51,dugtrio,51,7,333,142,ground,,80,50,35,50,70,120,sand-veil,are-trap,sand-force,#E0C068,,,ground,,51.png,1,50,21,11,heads
52,meowth,52,4,42,58,normal,,45,35,40,40,40,90,pickup,technician,unnerve,#A8A878,,,ground,,52.png,1,,22,8,quadruped
53,persian,53,10,320,154,normal,,70,60,65,65,65,115,limber,technician,unnerve,#A8A878,,,ground,,53.png,1,52,22,8,quadruped
54,psyduck,54,8,196,64,water,,52,48,50,65,50,55,damp,cloud-nine,swift-swim,#6890F0,,,water1,ground,54.png,1,,23,6,upright
55,golduck,55,17,766,175,water,,82,78,80,95,80,85,damp,cloud-nine,swift-swim,#6890F0,,,water1,ground,55.png,1,54,23,6,upright
56,mankey,56,5,280,61,fighting,,80,35,40,35,45,70,vital-spirit,anger-point,defiant,#C03028,,,ground,,56.png,1,,24,6,upright
57,primeape,57,10,320,159,fighting,,105,60,65,60,70,95,vital-spirit,anger-point,defiant,#C03028,,,ground,,57.png,1,56,24,6,upright
58,growlithe,58,7,190,70,fire,,70,45,55,70,50,60,intimidate,flash-fire,justified,#F08030,,,ground,,58.png,1,,25,8,quadruped
59,arcanine,59,19,1550,194,fire,,110,80,90,100,80,95,intimidate,flash-fire,justified,#F08030,,,ground,,59.png,1,58,25,8,quadruped
60,poliwag,60,6,124,60,water,,50,40,40,40,40,90,water-absorb,damp,swift-swim,#6890F0,,,water1,,60.png,1,,26,7,legs
61,poliwhirl,61,10,200,135,water,,65,65,65,50,50,90,water-absorb,damp,swift-swim,#6890F0,,,water1,,61.png,1,60,26,12,humanoid
62,poliwrath,62,13,540,230,water,fighting,95,95,90,70,90,70,water-absorb,damp,swift-swim,#6890F0,#C03028,#7D78BF,water1,,62.png,1,61,26,12,humanoid
63,abra,63,9,195,62,psychic,,20,15,25,105,55,90,synchronize,inner-focus,magic-guard,#F85888,,,humanshape,,63.png,1,,27,6,upright
64,kadabra,64,13,565,140,psychic,,35,30,40,120,70,105,synchronize,inner-focus,magic-guard,#F85888,,,humanshape,,64.png,1,63,27,6,upright
65,alakazam,65,15,480,225,psychic,,50,45,55,135,95,120,synchronize,inner-focus,magic-guard,#F85888,,,humanshape,,65.png,1,64,27,12,humanoid
66,machop,66,8,195,61,fighting,,80,50,70,35,35,35,guts,no-guard,steadfast,#C03028,,,humanshape,,66.png,1,,28,6,upright
67,machoke,67,15,705,142,fighting,,100,70,80,50,60,45,guts,no-guard,steadfast,#C03028,,,humanshape,,67.png,1,66,28,12,humanoid
68,machamp,68,16,1300,227,fighting,,130,80,90,65,85,55,guts,no-guard,steadfast,#C03028,,,humanshape,,68.png,1,67,28,12,humanoid
69,bellsprout,69,7,40,60,grass,poison,75,35,50,70,30,40,chlorophyll,,gluttony,#78C850,#A040A0,#81A763,plant,,69.png,1,,29,12,humanoid
70,weepinbell,70,10,64,137,grass,poison,90,50,65,85,45,55,chlorophyll,,gluttony,#78C850,#A040A0,#81A763,plant,,70.png,1,69,29,5,blob
71,victreebel,71,17,155,221,grass,poison,105,65,80,100,70,70,chlorophyll,,gluttony,#78C850,#A040A0,#81A763,plant,,71.png,1,70,29,5,blob
72,tentacool,72,9,455,67,water,poison,40,35,40,50,100,70,clear-body,liquid-ooze,rain-dish,#6890F0,#A040A0,#757CDC,water3,,72.png,1,,30,10,tentacles
73,tentacruel,73,16,550,180,water,poison,70,65,80,80,120,100,clear-body,liquid-ooze,rain-dish,#6890F0,#A040A0,#757CDC,water3,,73.png,1,72,30,10,tentacles
74,geodude,74,4,200,60,rock,ground,80,100,40,30,30,20,rock-head,sturdy,sand-veil,#B8A038,#E0C068,#C1A743,mineral,,74.png,1,,31,4,arms
75,graveler,75,10,1050,137,rock,ground,95,115,55,45,45,35,rock-head,sturdy,sand-veil,#B8A038,#E0C068,#C1A743,mineral,,75.png,1,74,31,12,humanoid
76,golem,76,14,3000,223,rock,ground,120,130,80,55,65,45,rock-head,sturdy,sand-veil,#B8A038,#E0C068,#C1A743,mineral,,76.png,1,75,31,12,humanoid
77,ponyta,77,10,300,82,fire,,85,55,50,65,65,90,run-away,flash-fire,flame-body,#F08030,,,ground,,77.png,1,,32,8,quadruped
78,rapidash,78,17,950,175,fire,,100,70,65,80,80,105,run-away,flash-fire,flame-body,#F08030,,,ground,,78.png,1,77,32,8,quadruped
79,slowpoke,79,12,360,63,water,psychic,65,65,90,40,40,15,oblivious,own-tempo,regenerator,#6890F0,#F85888,#8A82D6,monster,water1,79.png,1,,33,8,quadruped
80,slowbro,80,16,785,172,water,psychic,75,110,95,100,80,30,oblivious,own-tempo,regenerator,#6890F0,#F85888,#8A82D6,monster,water1,80.png,1,79,33,6,upright
81,magnemite,81,3,60,65,electric,steel,35,70,25,95,55,45,magnet-pull,sturdy,alytic,#F8D030,#B8B8D0,#E8CA56,mineral,,81.png,1,,34,4,arms
82,magneton,82,10,600,163,electric,steel,60,95,50,120,70,70,magnet-pull,sturdy,alytic,#F8D030,#B8B8D0,#E8CA56,mineral,,82.png,1,81,34,11,heads
83,farfetchd,83,8,150,123,normal,flying,65,55,52,58,62,60,keen-eye,inner-focus,defiant,#A8A878,#A890F0,#A8A295,flying,ground,83.png,1,,35,9,wings
84,doduo,84,14,392,62,normal,flying,85,45,35,35,35,75,run-away,early-bird,tangled-feet,#A8A878,#A890F0,#A8A295,flying,,84.png,1,,36,7,legs
85,dodrio,85,18,852,161,normal,flying,110,70,60,60,60,100,run-away,early-bird,tangled-feet,#A8A878,#A890F0,#A8A295,flying,,85.png,1,84,36,7,legs
86,seel,86,11,900,65,water,,45,55,65,45,70,45,thick-fat,hydration,ice-body,#6890F0,,,water1,ground,86.png,1,,37,3,fish
87,dewgong,87,17,1200,166,water,ice,70,80,90,70,95,70,thick-fat,hydration,ice-body,#6890F0,#98D8D8,#73A1EA,water1,ground,87.png,1,86,37,3,fish
88,grimer,88,9,300,65,poison,,80,50,80,40,50,25,stench,sticky-hold,poison-touch,#A040A0,,,indetermite,,88.png,1,,38,4,arms
89,muk,89,12,300,175,poison,,105,75,105,65,100,50,stench,sticky-hold,poison-touch,#A040A0,,,indetermite,,89.png,1,88,38,4,arms
90,shellder,90,3,40,61,water,,65,100,30,45,25,40,shell-armor,skill-link,overcoat,#6890F0,,,water3,,90.png,1,,39,1,ball
91,cloyster,91,15,1325,184,water,ice,95,180,50,85,45,70,shell-armor,skill-link,overcoat,#6890F0,#98D8D8,#73A1EA,water3,,91.png,1,90,39,1,ball
92,gastly,92,13,1,62,ghost,poison,35,30,30,100,35,80,levitate,,,#705898,#A040A0,#7B5299,indetermite,,92.png,1,,40,1,ball
93,haunter,93,16,1,142,ghost,poison,50,45,45,115,55,95,levitate,,,#705898,#A040A0,#7B5299,indetermite,,93.png,1,92,40,4,arms
94,gengar,94,15,405,225,ghost,poison,65,60,60,130,75,110,levitate,,,#705898,#A040A0,#7B5299,indetermite,,94.png,1,93,40,6,upright
95,onix,95,88,2100,77,rock,ground,45,160,35,30,45,70,rock-head,sturdy,weak-armor,#B8A038,#E0C068,#C1A743,mineral,,95.png,1,,41,2,squiggle
96,drowzee,96,10,324,66,psychic,,48,45,60,43,90,42,insomnia,forewarn,inner-focus,#F85888,,,humanshape,,96.png,1,,42,12,humanoid
97,hypno,97,16,756,169,psychic,,73,70,85,73,115,67,insomnia,forewarn,inner-focus,#F85888,,,humanshape,,97.png,1,96,42,12,humanoid
98,krabby,98,4,65,65,water,,105,90,30,25,25,50,hyper-cutter,shell-armor,sheer-force,#6890F0,,,water3,,98.png,1,,43,14,armor
99,kingler,99,13,600,166,water,,130,115,55,50,50,75,hyper-cutter,shell-armor,sheer-force,#6890F0,,,water3,,99.png,1,98,43,14,armor
100,voltorb,100,5,104,66,electric,,30,50,40,55,55,100,soundproof,static,aftermath,#F8D030,,,mineral,,100.png,1,,44,1,ball
101,electrode,101,12,666,168,electric,,50,70,60,80,80,140,soundproof,static,aftermath,#F8D030,,,mineral,,101.png,1,100,44,1,ball
102,exeggcute,102,4,25,65,grass,psychic,40,80,60,60,45,40,chlorophyll,,harvest,#78C850,#F85888,#97AC5D,plant,,102.png,1,,45,11,heads
103,exeggutor,103,20,1200,182,grass,psychic,95,85,95,125,65,55,chlorophyll,,harvest,#78C850,#F85888,#97AC5D,plant,,103.png,1,102,45,7,legs
104,cubone,104,4,65,64,ground,,50,95,50,40,50,35,rock-head,lightning-rod,battle-armor,#E0C068,,,monster,,104.png,1,,46,6,upright
105,marowak,105,10,450,149,ground,,80,110,60,50,80,45,rock-head,lightning-rod,battle-armor,#E0C068,,,monster,,105.png,1,104,46,6,upright
106,hitmonlee,106,15,498,159,fighting,,120,53,50,35,110,87,limber,reckless,unburden,#C03028,,,humanshape,,106.png,1,236,47,12,humanoid
107,hitmonchan,107,14,502,159,fighting,,105,79,50,35,110,76,keen-eye,iron-fist,inner-focus,#C03028,,,humanshape,,107.png,1,236,47,12,humanoid
108,lickitung,108,12,655,77,normal,,55,75,90,60,75,30,own-tempo,oblivious,cloud-nine,#A8A878,,,monster,,108.png,1,,48,6,upright
109,koffing,109,6,10,68,poison,,65,95,40,60,45,35,levitate,,,#A040A0,,,indetermite,,109.png,1,,49,1,ball
110,weezing,110,12,95,172,poison,,90,120,65,85,70,60,levitate,,,#A040A0,,,indetermite,,110.png,1,109,49,11,heads
111,rhyhorn,111,10,1150,69,ground,rock,85,95,80,30,30,25,lightning-rod,rock-head,reckless,#E0C068,#B8A038,#D6B85C,monster,ground,111.png,1,,50,8,quadruped
112,rhydon,112,19,1200,170,ground,rock,130,120,105,45,45,40,lightning-rod,rock-head,reckless,#E0C068,#B8A038,#D6B85C,monster,ground,112.png,1,111,50,6,upright
113,chansey,113,11,346,395,normal,,5,5,250,35,105,50,tural-cure,serene-grace,healer,#A8A878,,,fairy,,113.png,1,440,51,6,upright
114,tangela,114,10,350,87,grass,,55,115,65,100,40,60,chlorophyll,leaf-guard,regenerator,#78C850,,,plant,,114.png,1,,52,7,legs
115,kangaskhan,115,22,800,172,normal,,95,80,105,40,80,90,early-bird,scrappy,inner-focus,#A8A878,,,monster,,115.png,1,,53,6,upright
116,horsea,116,4,80,59,water,,40,70,30,70,25,60,swift-swim,sniper,damp,#6890F0,,,water1,dragon,116.png,1,,54,5,blob
117,seadra,117,12,250,154,water,,65,95,55,95,45,85,poison-point,sniper,damp,#6890F0,,,water1,dragon,117.png,1,116,54,5,blob
118,goldeen,118,6,150,64,water,,67,60,45,35,50,63,swift-swim,water-veil,lightning-rod,#6890F0,,,water2,,118.png,1,,55,3,fish
119,seaking,119,13,390,158,water,,92,65,80,65,80,68,swift-swim,water-veil,lightning-rod,#6890F0,,,water2,,119.png,1,118,55,3,fish
120,staryu,120,8,345,68,water,,45,55,30,70,55,85,illumite,tural-cure,alytic,#6890F0,,,water3,,120.png,1,,56,5,blob
121,starmie,121,11,800,182,water,psychic,75,85,60,100,85,115,illumite,tural-cure,alytic,#6890F0,#F85888,#8A82D6,water3,,121.png,1,120,56,5,blob
122,mr-mime,122,13,545,161,psychic,fairy,45,65,40,100,120,90,soundproof,filter,technician,#F85888,#EE99AC,#F56790,humanshape,,122.png,1,439,57,12,humanoid
123,scyther,123,15,560,100,bug,flying,110,80,70,55,80,105,swarm,technician,steadfast,#A8B820,#A890F0,#A8AE52,bug,,123.png,1,,58,13,bug-wings
124,jynx,124,14,406,159,ice,psychic,50,35,65,115,95,95,oblivious,forewarn,dry-skin,#98D8D8,#F85888,#AFB8C4,humanshape,,124.png,1,238,59,12,humanoid
125,electabuzz,125,11,300,172,electric,,83,57,65,95,85,105,static,,vital-spirit,#F8D030,,,humanshape,,125.png,1,239,60,6,upright
126,magmar,126,13,445,173,fire,,95,57,65,100,85,93,flame-body,,vital-spirit,#F08030,,,humanshape,,126.png,1,240,61,6,upright
127,pinsir,127,15,550,175,bug,,125,100,65,55,70,85,hyper-cutter,mold-breaker,moxie,#A8B820,,,bug,,127.png,1,,62,12,humanoid
128,tauros,128,14,884,172,normal,,100,95,75,40,70,110,intimidate,anger-point,sheer-force,#A8A878,,,ground,,128.png,1,,63,8,quadruped
129,magikarp,129,9,100,40,water,,10,55,20,15,20,80,swift-swim,,rattled,#6890F0,,,water2,dragon,129.png,1,,64,3,fish
130,gyarados,130,65,2350,189,water,flying,125,79,95,60,100,81,intimidate,,moxie,#6890F0,#A890F0,#7790F0,water2,dragon,130.png,1,129,64,2,squiggle
131,lapras,131,25,2200,187,water,ice,85,80,130,85,95,60,water-absorb,shell-armor,hydration,#6890F0,#98D8D8,#73A1EA,monster,water1,131.png,1,,65,3,fish
132,ditto,132,3,40,101,normal,,48,48,48,48,48,48,limber,,imposter,#A8A878,,,ditto,,132.png,1,,66,1,ball
133,eevee,133,3,65,65,normal,,55,50,55,45,65,55,run-away,adaptability,anticipation,#A8A878,,,ground,,133.png,1,,67,8,quadruped
134,vaporeon,134,10,290,184,water,,65,60,130,110,95,65,water-absorb,,hydration,#6890F0,,,ground,,134.png,1,133,67,8,quadruped
135,jolteon,135,8,245,184,electric,,65,60,65,110,95,130,volt-absorb,,quick-feet,#F8D030,,,ground,,135.png,1,133,67,8,quadruped
136,flareon,136,9,250,184,fire,,130,60,65,95,110,65,flash-fire,,guts,#F08030,,,ground,,136.png,1,133,67,8,quadruped
137,porygon,137,8,365,79,normal,,60,70,65,85,75,40,trace,download,alytic,#A8A878,,,mineral,,137.png,1,,68,7,legs
138,omanyte,138,4,75,71,rock,water,40,100,35,90,55,35,swift-swim,shell-armor,weak-armor,#B8A038,#6890F0,#A49C64,water1,water3,138.png,1,,69,10,tentacles
139,omastar,139,10,350,173,rock,water,60,125,70,115,70,55,swift-swim,shell-armor,weak-armor,#B8A038,#6890F0,#A49C64,water1,water3,139.png,1,138,69,10,tentacles
140,kabuto,140,5,115,71,rock,water,80,90,30,55,45,55,swift-swim,battle-armor,weak-armor,#B8A038,#6890F0,#A49C64,water1,water3,140.png,1,,70,14,armor
141,kabutops,141,13,405,173,rock,water,115,105,60,65,70,80,swift-swim,battle-armor,weak-armor,#B8A038,#6890F0,#A49C64,water1,water3,141.png,1,140,70,6,upright
142,aerodactyl,142,18,590,180,rock,flying,105,65,80,60,75,130,rock-head,pressure,unnerve,#B8A038,#A890F0,#B49C64,flying,,142.png,1,,71,9,wings
143,snorlax,143,21,4600,189,normal,,110,65,160,65,110,30,immunity,thick-fat,gluttony,#A8A878,,,monster,,143.png,1,446,72,12,humanoid
144,articuno,144,17,554,261,ice,flying,85,100,90,95,125,85,pressure,,snow-cloak,#98D8D8,#A890F0,#9BC6DD,no-eggs,,144.png,1,,73,9,wings
145,zapdos,145,16,526,261,electric,flying,90,85,90,125,90,100,pressure,,static,#F8D030,#A890F0,#E4C05E,no-eggs,,145.png,1,,74,9,wings
146,moltres,146,20,600,261,fire,flying,100,90,90,125,85,90,pressure,,flame-body,#F08030,#A890F0,#DE835E,no-eggs,,146.png,1,,75,9,wings
147,dratini,147,18,33,60,dragon,,64,45,41,50,50,50,shed-skin,,marvel-scale,#7038F8,,,water1,dragon,147.png,1,,76,2,squiggle
148,dragonair,148,40,165,147,dragon,,84,65,61,70,70,70,shed-skin,,marvel-scale,#7038F8,,,water1,dragon,148.png,1,147,76,2,squiggle
149,dragonite,149,22,2100,270,dragon,flying,134,95,91,100,100,80,inner-focus,,multiscale,#7038F8,#A890F0,#7D4DF6,water1,dragon,149.png,1,148,76,6,upright
150,mewtwo,150,20,1220,306,psychic,,110,90,106,154,90,130,pressure,,unnerve,#F85888,,,no-eggs,,150.png,1,,77,6,upright
151,mew,151,4,40,270,psychic,,100,100,100,100,100,100,synchronize,,,#F85888,,,no-eggs,,151.png,1,,78,6,upright
152,chikorita,152,9,64,64,grass,,49,65,45,49,65,45,overgrow,,leaf-guard,#78C850,,,monster,plant,152.png,2,,79,8,quadruped
153,bayleef,153,12,158,142,grass,,62,80,60,63,80,60,overgrow,,leaf-guard,#78C850,,,monster,plant,153.png,2,152,79,8,quadruped
154,meganium,154,18,1005,236,grass,,82,100,80,83,100,80,overgrow,,leaf-guard,#78C850,,,monster,plant,154.png,2,153,79,8,quadruped
155,cyndaquil,155,5,79,62,fire,,52,43,39,60,50,65,blaze,,flash-fire,#F08030,,,ground,,155.png,2,,80,12,humanoid
156,quilava,156,9,190,142,fire,,64,58,58,80,65,80,blaze,,flash-fire,#F08030,,,ground,,156.png,2,155,80,8,quadruped
157,typhlosion,157,17,795,240,fire,,84,78,78,109,85,100,blaze,,flash-fire,#F08030,,,ground,,157.png,2,156,80,8,quadruped
158,totodile,158,6,95,63,water,,65,64,50,44,48,43,torrent,,sheer-force,#6890F0,,,monster,water1,158.png,2,,81,6,upright
159,croconaw,159,11,250,142,water,,80,80,65,59,63,58,torrent,,sheer-force,#6890F0,,,monster,water1,159.png,2,158,81,6,upright
160,feraligatr,160,23,888,239,water,,105,100,85,79,83,78,torrent,,sheer-force,#6890F0,,,monster,water1,160.png,2,159,81,6,upright
161,sentret,161,8,60,43,normal,,46,34,35,35,45,20,run-away,keen-eye,frisk,#A8A878,,,ground,,161.png,2,,82,8,quadruped
162,furret,162,18,325,145,normal,,76,64,85,45,55,90,run-away,keen-eye,frisk,#A8A878,,,ground,,162.png,2,161,82,8,quadruped
163,hoothoot,163,7,212,52,normal,flying,30,30,60,36,56,50,insomnia,keen-eye,tinted-lens,#A8A878,#A890F0,#A8A295,flying,,163.png,2,,83,9,wings
164,noctowl,164,16,408,155,normal,flying,50,50,100,76,96,70,insomnia,keen-eye,tinted-lens,#A8A878,#A890F0,#A8A295,flying,,164.png,2,163,83,9,wings
165,ledyba,165,10,108,53,bug,flying,20,30,40,40,80,55,swarm,early-bird,rattled,#A8B820,#A890F0,#A8AE52,bug,,165.png,2,,84,9,wings
166,ledian,166,14,356,137,bug,flying,35,50,55,55,110,85,swarm,early-bird,iron-fist,#A8B820,#A890F0,#A8AE52,bug,,166.png,2,165,84,9,wings
167,spinarak,167,5,85,50,bug,poison,60,40,40,40,40,30,swarm,insomnia,sniper,#A8B820,#A040A0,#A69A3F,bug,,167.png,2,,85,14,armor
168,ariados,168,11,335,137,bug,poison,90,70,70,60,60,40,swarm,insomnia,sniper,#A8B820,#A040A0,#A69A3F,bug,,168.png,2,167,85,14,armor
169,crobat,169,18,750,241,poison,flying,90,80,85,70,80,130,inner-focus,,infiltrator,#A040A0,#A890F0,#A153B3,flying,,169.png,2,42,17,13,bug-wings
170,chinchou,170,5,120,66,water,electric,38,38,75,56,56,67,volt-absorb,illumite,water-absorb,#6890F0,#F8D030,#8A9FC1,water2,,170.png,2,,86,3,fish
171,lanturn,171,12,225,161,water,electric,58,58,125,76,76,67,volt-absorb,illumite,water-absorb,#6890F0,#F8D030,#8A9FC1,water2,,171.png,2,170,86,3,fish
172,pichu,172,3,20,41,electric,,40,15,20,35,35,60,static,,lightning-rod,#F8D030,,,no-eggs,,172.png,2,,10,8,quadruped
173,cleffa,173,3,30,44,fairy,,25,28,50,45,55,15,cute-charm,magic-guard,friend-guard,#EE99AC,,,no-eggs,,173.png,2,,14,6,upright
174,igglybuff,174,3,10,42,normal,fairy,30,15,90,40,20,15,cute-charm,competitive,friend-guard,#A8A878,#EE99AC,#B8A484,no-eggs,,174.png,2,,16,12,humanoid
175,togepi,175,3,15,49,fairy,,20,65,35,40,65,20,hustle,serene-grace,super-luck,#EE99AC,,,no-eggs,,175.png,2,,87,12,humanoid
176,togetic,176,6,32,142,fairy,flying,40,85,55,80,105,40,hustle,serene-grace,super-luck,#EE99AC,#A890F0,#DD96BC,flying,fairy,176.png,2,175,87,12,humanoid
